id,number,name,type,height,weight,attack,defense,hp,sp_atk,sp_def,speed,total,abilities,weakness,capture_location
100,0100,Voltorb,['electric'],0.5,10.4,30.0,50.0,40.0,55.0,55.0,100.0,330.0,"['Static', 'Soundproof']",['Ground'],"['sinnoh-route-218-area', 'kanto-route-10-area', 'power-plant-area', 'new-mauville-entrance', 'new-mauville-area', 'team-rocket-hq-area']"
101,0101,Electrode,['electric'],1.2,66.6,50.0,70.0,60.0,80.0,80.0,150.0,490.0,"['Static', 'Soundproof']",['Ground'],"['cerulean-cave-1f', 'cerulean-cave-2f', 'cerulean-cave-b1f', 'power-plant-area', 'new-mauville-area', 'lost-hotel-area', 'team-rocket-hq-area', 'team-rockets-castle-area', 'team-aqua-hideout-area', 'team-magma-hideout-area', 'liberty-garden-lighthouse-basement']"
102,0102,Exeggcute,"['grass', 'psychic']",0.4,2.5,40.0,80.0,60.0,60.0,45.0,40.0,325.0,['Chlorophyll'],"['Fire', 'Ice', 'Poison', 'Flying', 'Bug', 'Ghost', 'Dark']","['johto-route-29-area', 'johto-route-30-area', 'johto-route-31-area', 'johto-route-32-area', 'ilex-forest-area', 'johto-route-34-area', 'johto-route-35-area', 'johto-route-36-area', 'johto-route-37-area', 'johto-route-38-area', 'johto-route-39-area', 'johto-route-43-area', 'lake-of-rage-area', 'kanto-route-26-area', 'kanto-route-27-area', 'kanto-safari-zone-middle', 'kanto-safari-zone-area-1-east', 'kanto-safari-zone-area-2-north', 'kanto-safari-zone-area-3-west', 'berry-forest-area', 'kalos-route-12-area', 'azure-bay-area', 'azalea-town-area', 'ancient-poni-path-area', 'exeggutor-island-area', 'poni-wilds-area']"
103,0103,Exeggutor,"['grass', 'psychic']",2.0,120.0,95.0,85.0,95.0,125.0,75.0,55.0,530.0,['Chlorophyll'],"['Fire', 'Ice', 'Poison', 'Flying', 'Bug', 'Ghost', 'Dark']",[]
104,0104,Cubone,['ground'],0.4,6.5,50.0,95.0,50.0,40.0,50.0,35.0,320.0,"['Rock Head', 'Lightning Rod']","['Water', 'Grass', 'Ice']","['sinnoh-route-203-area', 'rock-tunnel-1f', 'rock-tunnel-b1f', 'pokemon-tower-3f', 'pokemon-tower-4f', 'pokemon-tower-5f', 'pokemon-tower-6f', 'pokemon-tower-7f', 'kanto-safari-zone-area-1-east', 'kanto-safari-zone-area-2-north', 'kanto-safari-zone-area-3-west', 'sevault-canyon-area', 'glittering-cave-unknown-area-303', 'johto-safari-zone-zone-desert', 'wela-volcano-park-area']"
105,0105,Marowak,['ground'],1.0,45.0,80.0,110.0,60.0,50.0,80.0,45.0,425.0,"['Rock Head', 'Lightning Rod']","['Water', 'Grass', 'Ice']","['rock-tunnel-1f', 'rock-tunnel-b1f', 'kanto-route-9-area', 'kanto-route-10-area', 'cerulean-cave-2f', 'cerulean-cave-b1f', 'kanto-victory-road-2-1f', 'kanto-victory-road-2-2f', 'kanto-victory-road-2-3f', 'kanto-safari-zone-area-1-east', 'kanto-safari-zone-area-3-west', 'sevault-canyon-area', 'unova-route-15-area', 'johto-safari-zone-zone-desert', 'heahea-beach-area']"
106,0106,Hitmonlee,['fighting'],1.5,49.8,120.0,53.0,50.0,35.0,110.0,87.0,455.0,"['Limber', 'Reckless']","['Flying', 'Psychic', 'Fairy']",['saffron-city-fighting-dojo']
107,0107,Hitmonchan,['fighting'],1.4,50.2,105.0,79.0,50.0,35.0,110.0,76.0,455.0,"['Keen Eye', 'Iron Fist']","['Flying', 'Psychic', 'Fairy']",['saffron-city-fighting-dojo']
108,0108,Lickitung,['normal'],1.2,65.5,55.0,75.0,90.0,60.0,75.0,30.0,385.0,"['Oblivious', 'Own Tempo']",['Fighting'],"['lake-valor-area', 'sinnoh-route-215-area', 'johto-route-44-area', 'cerulean-cave-b1f', 'unova-route-2-area', 'challengers-cave-1f', 'challengers-cave-b1f', 'challengers-cave-b2f', 'kalos-victory-road-unknown-area-322', 'kalos-victory-road-unknown-area-324', 'kalos-victory-road-unknown-area-326', 'kalos-victory-road-unknown-area-328', 'johto-safari-zone-zone-mountain', 'poni-gauntlet-area']"
109,0109,Koffing,['poison'],0.6,1.0,65.0,95.0,40.0,60.0,45.0,35.0,340.0,"['Levitate', 'Neutralizing Gas']","['Ground', 'Psychic']","['stark-mountain-inside', 'burned-tower-1f', 'burned-tower-b1f', 'celadon-city-area', 'pokemon-mansion-1f', 'pokemon-mansion-2f', 'pokemon-mansion-3f', 'pokemon-mansion-b1f', 'fiery-path-area', 'virbank-complex-inner', 'johto-safari-zone-zone-marshland', 'team-rocket-hq-area']"
110,0110,Weezing,['poison'],1.2,9.5,90.0,120.0,65.0,85.0,70.0,60.0,490.0,"['Levitate', 'Neutralizing Gas']","['Ground', 'Psychic']","['stark-mountain-area', 'stark-mountain-entrance', 'stark-mountain-inside', 'sinnoh-route-227-area', 'burned-tower-b1f', 'pokemon-mansion-1f', 'pokemon-mansion-2f', 'pokemon-mansion-3f', 'pokemon-mansion-b1f', 'p2-laboratory-area', 'johto-safari-zone-zone-marshland']"
111,0111,Rhyhorn,"['ground', 'rock']",1.0,115.0,85.0,95.0,80.0,30.0,30.0,25.0,345.0,"['Rock Head', 'Lightning Rod']","['Water', 'Grass', 'Ice', 'Fighting', 'Ground', 'Steel']","['sinnoh-victory-road-1f', 'stark-mountain-area', 'stark-mountain-entrance', 'sinnoh-route-214-area', 'sinnoh-route-227-area', 'kanto-victory-road-1-1f', 'kanto-victory-road-1-2f', 'kanto-victory-road-1-3f', 'cerulean-cave-2f', 'cerulean-cave-b1f', 'kanto-safari-zone-middle', 'kanto-safari-zone-area-2-north', 'hoenn-safari-zone-nwmach-bike-area', 'glittering-cave-unknown-area-303', 'johto-safari-zone-zone-savannah', 'blush-mountain-area']"
112,0112,Rhydon,"['ground', 'rock']",1.9,120.0,130.0,120.0,105.0,45.0,45.0,40.0,485.0,"['Rock Head', 'Lightning Rod']","['Water', 'Grass', 'Ice', 'Fighting', 'Ground', 'Steel']","['sinnoh-victory-road-1f', 'stark-mountain-area', 'stark-mountain-entrance', 'stark-mountain-inside', 'sinnoh-route-227-area', 'sinnoh-route-228-area', 'kanto-victory-road-1-1f', 'kanto-victory-road-1-2f', 'kanto-victory-road-1-3f', 'cerulean-cave-2f', 'cerulean-cave-b1f']"
113,0113,Chansey,['normal'],1.1,34.6,5.0,5.0,250.0,35.0,105.0,50.0,450.0,"['Natural Cure', 'Serene Grace']",['Fighting'],"['sinnoh-route-209-area', 'sinnoh-route-210-south-towards-solaceon-town', 'kanto-route-13-area', 'kanto-route-14-area', 'kanto-route-15-area', 'cerulean-cave-2f', 'cerulean-cave-b1f', 'kanto-safari-zone-middle', 'kanto-safari-zone-area-1-east', 'kanto-safari-zone-area-2-north', 'alola-route-12-area', 'blush-mountain-area', 'mount-hokulani-main', 'poni-grove-area', 'poni-plains-center']"
114,0114,Tangela,['grass'],1.0,35.0,55.0,115.0,65.0,100.0,40.0,60.0,435.0,"['Chlorophyll', 'Leaf Guard']","['Fire', 'Ice', 'Poison', 'Flying', 'Bug']","['great-marsh-area-1', 'great-marsh-area-2', 'great-marsh-area-3', 'great-marsh-area-4', 'great-marsh-area-5', 'great-marsh-area-6', 'johto-route-44-area', 'mt-silver-outside', 'kanto-route-28-area', 'kanto-sea-route-21-area', 'kanto-safari-zone-middle', 'kanto-safari-zone-area-3-west', 'treasure-beach-area', 'giant-chasm-outside', 'unova-route-13-area']"
115,0115,Kangaskhan,['normal'],2.2,80.0,95.0,80.0,105.0,40.0,80.0,90.0,490.0,"['Early Bird', 'Scrappy']",['Fighting'],"['rock-tunnel-b1f', 'kanto-safari-zone-area-1-east', 'kanto-safari-zone-area-2-north', 'kanto-safari-zone-area-3-west', 'unova-route-15-area', 'glittering-cave-unknown-area-303', 'johto-safari-zone-zone-wasteland', 'wela-volcano-park-area']"
116,0116,Horsea,['water'],0.4,8.0,40.0,70.0,30.0,70.0,25.0,60.0,295.0,"['Swift Swim', 'Sniper']","['Grass', 'Electric']","['sinnoh-sea-route-226-area', 'whirl-islands-1f', 'whirl-islands-b2f', 'whirl-islands-b3f', 'seafoam-islands-1f', 'seafoam-islands-b1f', 'seafoam-islands-b2f', 'seafoam-islands-b3f', 'seafoam-islands-b4f', 'kanto-route-12-area', 'kanto-sea-route-19-area', 'kanto-sea-route-20-area', 'cinnabar-island-area', 'cerulean-city-area', 'vermilion-city-area', 'pallet-town-area', 'kanto-route-4-area', 'kanto-route-10-area', 'kanto-route-11-area', 'kanto-route-13-area', 'kanto-sea-route-21-area', 'kanto-route-24-area', 'hoenn-route-132-area', 'hoenn-route-133-area', 'hoenn-route-134-area', 'ss-anne-area', 'icefall-cave-waterfall', 'kindle-road-area', 'treasure-beach-area', 'bond-bridge-area', 'resort-gorgeous-area', 'water-labyrinth-area', 'five-isle-meadow-area', 'memorial-pillar-area', 'outcast-island-area', 'green-path-area', 'water-path-area', 'trainer-tower-area', 'tanoby-ruins-area', 'one-island-area', 'five-island-area', 'p2-laboratory-area', 'unova-route-18-area', 'unova-route-17-area', 'ambrette-town-area', 'cyllage-city-area', 'kalae-bay-area']"
117,0117,Seadra,['water'],1.2,25.0,65.0,95.0,55.0,95.0,45.0,85.0,440.0,"['Poison Point', 'Sniper']","['Grass', 'Electric']","['sinnoh-sea-route-226-area', 'whirl-islands-1f', 'whirl-islands-b2f', 'whirl-islands-b3f', 'seafoam-islands-b1f', 'seafoam-islands-b3f', 'seafoam-islands-b4f', 'kanto-route-12-area', 'kanto-sea-route-19-area', 'kanto-sea-route-20-area', 'cinnabar-island-area', 'pallet-town-area', 'kanto-route-13-area', 'kanto-sea-route-21-area', 'cerulean-cave-1f', 'cerulean-cave-b1f', 'kanto-route-23-area', 'icefall-cave-waterfall', 'kindle-road-area', 'treasure-beach-area', 'bond-bridge-area', 'resort-gorgeous-area', 'water-labyrinth-area', 'five-isle-meadow-area', 'memorial-pillar-area', 'outcast-island-area', 'green-path-area', 'water-path-area', 'trainer-tower-area', 'tanoby-ruins-area', 'one-island-area', 'five-island-area', 'p2-laboratory-area', 'unova-route-18-area', 'unova-route-17-area', 'ambrette-town-area', 'cyllage-city-area']"
118,0118,Goldeen,['water'],0.6,15.0,67.0,60.0,45.0,35.0,50.0,63.0,320.0,"['Swift Swim', 'Water Veil']","['Grass', 'Electric']","['sendoff-spring-area', 'lake-verity-before-galactic-intervention', 'lake-verity-after-galactic-intervention', 'lake-valor-area', 'lake-acuity-area', 'sinnoh-route-203-area', 'sinnoh-route-204-south-towards-jubilife-city', 'sinnoh-route-204-north-towards-floaroma-town', 'sinnoh-route-208-area', 'sinnoh-route-209-area', 'sinnoh-route-212-north-towards-hearthome-city', 'sinnoh-route-214-area', 'sinnoh-route-229-area', 'twinleaf-town-area', 'celestic-town-area', 'resort-area-area', 'union-cave-1f', 'union-cave-b1f', 'slowpoke-well-1f', 'slowpoke-well-b1f', 'johto-route-42-area', 'mt-mortar-1f', 'mt-mortar-upper-cave', 'mt-mortar-b1f', 'dark-cave-violet-city-entrance', 'dark-cave-blackthorn-city-entrance', 'seafoam-islands-b3f', 'seafoam-islands-b4f', 'mt-silver-2f', 'mt-silver-1f-top', 'mt-silver-4f', 'mt-silver-1f', 'mt-silver-top', 'unknown-all-rattata-area', 'kanto-route-12-area', 'kanto-sea-route-19-area', 'kanto-sea-route-20-area', 'cinnabar-island-area', 'viridian-city-area', 'cerulean-city-area', 'vermilion-city-area', 'celadon-city-area', 'fuchsia-city-area', 'pallet-town-area', 'kanto-route-4-area', 'kanto-route-6-area', 'kanto-route-9-area', 'kanto-route-10-area', 'kanto-route-11-area', 'kanto-route-13-area', 'kanto-route-17-area', 'kanto-route-18-area', 'kanto-sea-route-21-area', 'kanto-route-22-area', 'kanto-route-24-area', 'kanto-route-25-area', 'tohjo-falls-area', 'cerulean-cave-1f', 'cerulean-cave-2f', 'cerulean-cave-b1f', 'kanto-route-23-area', 'kanto-safari-zone-middle', 'kanto-safari-zone-area-1-east', 'kanto-safari-zone-area-2-north', 'kanto-safari-zone-area-3-west', 'vermilion-city-ss-anne-dock', 'petalburg-city-area', 'meteor-falls-area', 'meteor-falls-back', 'meteor-falls-b1f', 'meteor-falls-backsmall-room', 'hoenn-victory-road-b2f', 'hoenn-route-102-area', 'hoenn-route-111-area', 'hoenn-route-114-area', 'hoenn-route-117-area', 'hoenn-route-120-area', 'hoenn-safari-zone-nwmach-bike-area', 'hoenn-safari-zone-sw', 'hoenn-safari-zone-expansion-south', 'berry-forest-area', 'icefall-cave-entrance', 'cape-brink-area', 'ruin-valley-area', 'four-island-area', 'striaton-city-area', 'pinwheel-forest-inside', 'unova-route-3-area', 'unova-route-11-area', 'unova-route-14-area', 'abundant-shrine-area', 'lostlorn-forest-area', 'aspertia-city-area', 'unova-route-22-area', 'kalos-route-3-area', 'kalos-route-22-area', 'parfum-palace-area', 'johto-safari-zone-zone-swamp', 'johto-safari-zone-zone-rocky-beach', 'brooklet-hill-north', 'brooklet-hill-south', 'malie-garden-area']"
119,0119,Seaking,['water'],1.3,39.0,92.0,65.0,80.0,65.0,80.0,68.0,450.0,"['Swift Swim', 'Water Veil']","['Grass', 'Electric']","['sendoff-spring-area', 'lake-verity-before-galactic-intervention', 'lake-verity-after-galactic-intervention', 'lake-valor-area', 'lake-acuity-area', 'sinnoh-route-203-area', 'sinnoh-route-204-south-towards-jubilife-city', 'sinnoh-route-204-north-towards-floaroma-town', 'sinnoh-route-208-area', 'sinnoh-route-209-area', 'sinnoh-route-212-north-towards-hearthome-city', 'sinnoh-route-214-area', 'sinnoh-route-229-area', 'twinleaf-town-area', 'celestic-town-area', 'resort-area-area', 'union-cave-1f', 'union-cave-b1f', 'slowpoke-well-1f', 'slowpoke-well-b1f', 'johto-route-42-area', 'mt-mortar-1f', 'mt-mortar-upper-cave', 'mt-mortar-b1f', 'dark-cave-violet-city-entrance', 'dark-cave-blackthorn-city-entrance', 'mt-silver-2f', 'mt-silver-1f-top', 'mt-silver-4f', 'mt-silver-1f', 'mt-silver-top', 'cerulean-city-area', 'fuchsia-city-area', 'kanto-route-4-area', 'kanto-route-9-area', 'kanto-route-10-area', 'kanto-route-24-area', 'kanto-route-25-area', 'tohjo-falls-area', 'cerulean-cave-1f', 'cerulean-cave-b1f', 'kanto-route-23-area', 'kanto-safari-zone-middle', 'kanto-safari-zone-area-1-east', 'kanto-safari-zone-area-2-north', 'kanto-safari-zone-area-3-west', 'hoenn-safari-zone-nwmach-bike-area', 'hoenn-safari-zone-sw', 'berry-forest-area', 'striaton-city-area', 'pinwheel-forest-inside', 'unova-route-3-area', 'unova-route-11-area', 'unova-route-14-area', 'abundant-shrine-area', 'aspertia-city-area', 'unova-route-22-area', 'kalos-route-3-area', 'kalos-route-22-area', 'parfum-palace-area', 'johto-safari-zone-zone-swamp', 'johto-safari-zone-zone-rocky-beach', 'brooklet-hill-north', 'brooklet-hill-south', 'malie-garden-area']"
120,0120,Staryu,['water'],0.8,34.5,45.0,55.0,30.0,70.0,55.0,85.0,340.0,"['Natural Cure', 'Illuminate']","['Grass', 'Electric']","['canalave-city-area', 'sunyshore-city-area', 'cherrygrove-city-area', 'union-cave-b2f', 'johto-route-34-area', 'olivine-city-area', 'johto-sea-route-40-area', 'cianwood-city-area', 'johto-route-47-area', 'seafoam-islands-1f', 'seafoam-islands-b1f', 'seafoam-islands-b2f', 'seafoam-islands-b3f', 'seafoam-islands-b4f', 'kanto-sea-route-19-area', 'kanto-sea-route-20-area', 'cinnabar-island-area', 'vermilion-city-area', 'pallet-town-area', 'kanto-sea-route-21-area', 'vermilion-city-ss-anne-dock', 'lilycove-city-area', 'ss-anne-area', 'icefall-cave-waterfall', 'one-island-area', 'five-island-area', 'unova-route-13-area', 'undella-town-area', 'humilau-city-area', 'kalos-route-8-area', 'alola-route-7-area', 'hano-beach-area', 'poke-pelago-poni-island-reached', 'poke-pelago-ulaula-island-reached', 'poke-pelago-elite-four-defeated']"
121,0121,Starmie,"['water', 'psychic']",1.1,80.0,75.0,85.0,60.0,100.0,85.0,115.0,520.0,"['Natural Cure', 'Illuminate']","['Grass', 'Electric', 'Bug', 'Ghost', 'Dark']","['unova-route-13-area', 'undella-town-area', 'humilau-city-area', 'kalos-route-8-area', 'alola-route-7-area', 'hano-beach-area']"
122,0122,Mr. Mime,"['psychic', 'fairy']",1.3,54.5,45.0,65.0,40.0,100.0,120.0,90.0,460.0,"['Soundproof', 'Filter']","['Poison', 'Ghost', 'Steel']","['sinnoh-route-218-area', 'sinnoh-route-222-area', 'kanto-sea-route-21-area', 'reflection-cave-unknown-area-305', 'reflection-cave-unknown-area-306', 'reflection-cave-unknown-area-307', 'reflection-cave-unknown-area-308', 'johto-safari-zone-zone-forest', 'hauoli-city-shopping-district', 'poke-pelago-poni-island-reached', 'poke-pelago-ulaula-island-reached', 'poke-pelago-elite-four-defeated']"
123,0123,Scyther,"['bug', 'flying']",1.5,56.0,110.0,80.0,70.0,55.0,80.0,105.0,500.0,"['Swarm', 'Technician']","['Fire', 'Electric', 'Ice', 'Flying', 'Rock']","['sinnoh-route-210-south-towards-solaceon-town', 'sinnoh-route-210-west-towards-celestic-town', 'sinnoh-route-215-area', 'sinnoh-route-229-area', 'kanto-safari-zone-middle', 'kanto-safari-zone-area-1-east', 'kanto-safari-zone-area-2-north', 'kalos-route-21-area', 'poni-plains-center', 'poke-pelago-elite-four-defeated']"
124,0124,Jynx,"['ice', 'psychic']",1.4,40.6,50.0,35.0,65.0,115.0,95.0,95.0,455.0,"['Oblivious', 'Forewarn']","['Fire', 'Bug', 'Rock', 'Ghost', 'Dark', 'Steel']","['snowpoint-temple-b1f', 'snowpoint-temple-b2f', 'snowpoint-temple-b3f', 'snowpoint-temple-b4f', 'snowpoint-temple-b5f', 'ice-path-1f', 'ice-path-b1f', 'ice-path-b2f', 'ice-path-b3f', 'seafoam-islands-b4f', 'giant-chasm-area', 'giant-chasm-forest-cave', 'frost-cavern-unknown-area-314', 'frost-cavern-unknown-area-315', 'frost-cavern-unknown-area-316', 'frost-cavern-unknown-area-317', 'seaward-cave-area', 'poke-pelago-poni-island-reached', 'poke-pelago-ulaula-island-reached', 'poke-pelago-elite-four-defeated']"
125,0125,Electabuzz,['electric'],1.1,30.0,83.0,57.0,65.0,95.0,85.0,105.0,490.0,['Static'],['Ground'],"['sinnoh-route-222-area', 'kanto-route-10-area', 'power-plant-area', 'alola-route-12-area', 'blush-mountain-area', 'mount-hokulani-west']"
126,0126,Magmar,['fire'],1.3,44.5,95.0,57.0,65.0,100.0,85.0,93.0,495.0,['Flame Body'],"['Water', 'Ground', 'Rock']","['fuego-ironworks-area', 'burned-tower-b1f', 'mt-silver-1f', 'pokemon-mansion-3f', 'pokemon-mansion-b1f', 'mt-ember-area', 'johto-safari-zone-zone-peak', 'wela-volcano-park-area']"
127,0127,Pinsir,['bug'],1.5,55.0,125.0,100.0,65.0,55.0,70.0,85.0,500.0,"['Hyper Cutter', 'Mold Breaker']","['Fire', 'Flying', 'Rock']","['sinnoh-route-229-area', 'kanto-safari-zone-middle', 'kanto-safari-zone-area-1-east', 'kanto-safari-zone-area-2-north', 'kanto-safari-zone-area-3-west', 'hoenn-safari-zone-nwmach-bike-area', 'unova-route-12-area', 'lostlorn-forest-area', 'kalos-route-12-area', 'exeggutor-island-area', 'lush-jungle-north', 'lush-jungle-south', 'lush-jungle-west', 'poni-grove-area', 'poke-pelago-poni-island-reached', 'poke-pelago-ulaula-island-reached', 'poke-pelago-elite-four-defeated']"
128,0128,Tauros,['normal'],1.4,88.4,100.0,95.0,75.0,40.0,70.0,110.0,490.0,"['Intimidate', 'Anger Point']",['Fighting'],"['sinnoh-route-209-area', 'sinnoh-route-210-south-towards-solaceon-town', 'johto-route-38-area', 'johto-route-39-area', 'johto-route-48-area', 'kanto-safari-zone-area-1-east', 'kanto-safari-zone-area-2-north', 'kanto-safari-zone-area-3-west', 'kalos-route-12-area', 'johto-safari-zone-zone-savannah', 'paniola-ranch-area', 'poni-gauntlet-area', 'poni-plains-center', 'poni-plains-east', 'poni-plains-north', 'poni-plains-west']"
129,0129,Magikarp,['water'],0.9,10.0,10.0,55.0,20.0,15.0,20.0,80.0,200.0,['Swift Swim'],"['Grass', 'Electric']","['canalave-city-area', 'eterna-city-area', 'pastoria-city-area', 'sunyshore-city-area', 'sinnoh-pokemon-league-area', 'valley-windworks-area', 'fuego-ironworks-area', 'mt-coronet-1f-route-207', 'mt-coronet-4f', 'mt-coronet-b1f', 'great-marsh-area-1', 'great-marsh-area-2', 'great-marsh-area-3', 'great-marsh-area-4', 'great-marsh-area-5', 'great-marsh-area-6', 'sinnoh-victory-road-b1f', 'sinnoh-victory-road-inside-b1f', 'ravaged-path-area', 'oreburgh-gate-b1f', 'sendoff-spring-area', 'iron-island-area', 'lake-verity-before-galactic-intervention', 'lake-verity-after-galactic-intervention', 'lake-valor-area', 'lake-acuity-area', 'sinnoh-route-203-area', 'sinnoh-route-204-south-towards-jubilife-city', 'sinnoh-route-204-north-towards-floaroma-town', 'sinnoh-route-205-south-towards-floaroma-town', 'sinnoh-route-205-east-towards-eterna-city', 'sinnoh-route-208-area', 'sinnoh-route-209-area', 'sinnoh-route-210-west-towards-celestic-town', 'sinnoh-route-212-north-towards-hearthome-city', 'sinnoh-route-212-east-towards-pastoria-city', 'sinnoh-route-213-area', 'sinnoh-route-214-area', 'sinnoh-route-218-area', 'sinnoh-route-219-area', 'sinnoh-route-221-area', 'sinnoh-route-222-area', 'sinnoh-route-224-area', 'sinnoh-route-225-area', 'sinnoh-route-227-area', 'sinnoh-route-228-area', 'sinnoh-route-229-area', 'twinleaf-town-area', 'celestic-town-area', 'resort-area-area', 'sinnoh-sea-route-220-area', 'sinnoh-sea-route-223-area', 'sinnoh-sea-route-226-area', 'sinnoh-sea-route-230-area', 'new-bark-town-area', 'cherrygrove-city-area', 'johto-route-30-area', 'johto-route-31-area', 'violet-city-area', 'johto-route-32-area', 'ruins-of-alph-outside', 'union-cave-1f', 'union-cave-b1f', 'union-cave-b2f', 'slowpoke-well-1f', 'slowpoke-well-b1f', 'ilex-forest-area', 'johto-route-34-area', 'johto-route-35-area', 'ecruteak-city-area', 'olivine-city-area', 'johto-sea-route-40-area', 'johto-sea-route-41-area', 'whirl-islands-1f', 'whirl-islands-b2f', 'whirl-islands-b3f', 'cianwood-city-area', 'johto-route-42-area', 'mt-mortar-1f', 'mt-mortar-upper-cave', 'mt-mortar-b1f', 'johto-route-43-area', 'lake-of-rage-area', 'johto-route-44-area', 'blackthorn-city-area', 'dragons-den-area', 'johto-route-45-area', 'dark-cave-violet-city-entrance', 'dark-cave-blackthorn-city-entrance', 'johto-route-47-area', 'mt-moon-mt-moon-square', 'unknown-all-poliwag-area', 'seafoam-islands-b3f', 'seafoam-islands-b4f', 'mt-silver-2f', 'mt-silver-1f-top', 'mt-silver-4f', 'johto-route-47-cave-gate', 'mt-silver-outside', 'mt-silver-1f', 'mt-silver-top', 'unknown-all-rattata-area', 'kanto-route-12-area', 'kanto-sea-route-19-area', 'kanto-sea-route-20-area', 'cinnabar-island-area', 'viridian-city-area', 'cerulean-city-area', 'vermilion-city-area', 'celadon-city-area', 'fuchsia-city-area', 'pallet-town-area', 'kanto-route-26-area', 'kanto-route-27-area', 'kanto-route-28-area', 'kanto-route-4-area', 'kanto-route-6-area', 'kanto-route-9-area', 'kanto-route-10-area', 'kanto-route-11-area', 'kanto-route-13-area', 'kanto-route-17-area', 'kanto-route-18-area', 'kanto-sea-route-21-area', 'kanto-route-22-area', 'kanto-route-24-area', 'kanto-route-25-area', 'tohjo-falls-area', 'cerulean-cave-1f', 'cerulean-cave-2f', 'cerulean-cave-b1f', 'kanto-route-23-area', 'kanto-safari-zone-middle', 'kanto-safari-zone-area-1-east', 'kanto-safari-zone-area-2-north', 'kanto-safari-zone-area-3-west', 'vermilion-city-ss-anne-dock', 'petalburg-city-area', 'slateport-city-area', 'lilycove-city-area', 'mossdeep-city-area', 'sootopolis-city-area', 'ever-grande-city-area', 'meteor-falls-area', 'meteor-falls-back', 'meteor-falls-b1f', 'meteor-falls-backsmall-room', 'seafloor-cavern-area', 'hoenn-victory-road-b2f', 'shoal-cave-area', 'abandoned-ship-area', 'hoenn-route-102-area', 'hoenn-route-103-area', 'hoenn-route-104-area', 'hoenn-route-105-area', 'hoenn-route-106-area', 'hoenn-route-107-area', 'hoenn-route-108-area', 'hoenn-route-109-area', 'hoenn-route-110-area', 'hoenn-route-111-area', 'hoenn-route-114-area', 'hoenn-route-115-area', 'hoenn-route-117-area', 'hoenn-route-118-area', 'hoenn-route-119-area', 'hoenn-route-120-area', 'hoenn-route-121-area', 'hoenn-route-122-area', 'hoenn-route-123-area', 'hoenn-route-124-area', 'hoenn-route-125-area', 'hoenn-route-126-area', 'hoenn-route-127-area', 'hoenn-route-128-area', 'hoenn-route-129-area', 'hoenn-route-130-area', 'hoenn-route-131-area', 'hoenn-route-132-area', 'hoenn-route-133-area', 'hoenn-route-134-area', 'hoenn-safari-zone-nwmach-bike-area', 'hoenn-safari-zone-sw', 'dewford-town-area', 'pacifidlog-town-area', 'hoenn-safari-zone-expansion-south', 'ss-anne-area', 'berry-forest-area', 'icefall-cave-entrance', 'icefall-cave-waterfall', 'kindle-road-area', 'treasure-beach-area', 'cape-brink-area', 'bond-bridge-area', 'resort-gorgeous-area', 'water-labyrinth-area', 'five-isle-meadow-area', 'memorial-pillar-area', 'outcast-island-area', 'green-path-area', 'water-path-area', 'ruin-valley-area', 'trainer-tower-area', 'tanoby-ruins-area', 'one-island-area', 'four-island-area', 'five-island-area', 'marvelous-bridge-area', 'nature-sanctuary-area', 'kalos-route-3-area', 'kalos-route-22-area', 'parfum-palace-area', 'kanto-route-4-pokemon-center', 'johto-safari-zone-zone-meadow', 'johto-safari-zone-zone-swamp', 'johto-safari-zone-zone-marshland', 'johto-safari-zone-zone-rocky-beach', 'johto-safari-zone-zone-wetland', 'kanto-route-3-pokemon-center', 'alola-route-7-area', 'alola-route-8-main', 'alola-route-9-main', 'alola-route-13-area', 'alola-route-14-area', 'alola-route-15-main', 'akala-outskirts-area', 'ancient-poni-path-area', 'brooklet-hill-north', 'brooklet-hill-south', 'brooklet-hill-totems-den', 'hauoli-city-beachfront', 'kalae-bay-area', 'malie-garden-area', 'melemele-sea-area', 'paniola-town-area', 'poni-breaker-coast-area', 'poni-gauntlet-area', 'poni-meadow-area', 'poni-wilds-area', 'seafolk-village-main', 'seaward-cave-area', 'secluded-shore-area', 'tapu-village-area', 'vast-poni-canyon-northwest']"
